TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
1910,"$59,748.00",926,292,364,74,32,0.3623,34.67%,54.00%,86.58%,49.57%,566,69.78%,7.77%,57.31%,69.57%,7.68%,47.39%,0.4325,2
1911,"$42,197.00",2256,1355,837,213,23,0.3605,37.44%,42.03%,80.84%,49.85%,1817,42.64%,6.86%,52.64%,47.91%,14.35%,49.27%,0.3561,2
1912,"$36,551.00",1313,552,292,128,54,0.3484,34.26%,39.24%,90.55%,53.88%,1058,26.64%,5.03%,57.86%,42.25%,2.60%,67.25%,0.3361,1
1913.01,"$41,950.00",1586,786,806,145,22,0.3746,41.80%,46.60%,81.00%,49.86%,1238,41.47%,10.42%,46.98%,57.43%,13.71%,49.56%,0.3659,2
1913.02,"$37,636.00",1099,1048,572,285,32,0.4092,43.74%,47.94%,88.15%,50.64%,1206,31.61%,18.56%,43.88%,59.11%,5.54%,53.33%,0.3534,2
2001,"$48,824.00",1058,742,820,188,114,0.4329,32.22%,51.43%,80.61%,47.67%,877,54.26%,27.13%,62.23%,65.27%,14.55%,40.42%,0.4398,2
2002,"$41,218.00",1247,1224,760,255,31,0.4066,42.29%,35.49%,83.37%,42.78%,1124,39.30%,17.54%,45.60%,31.56%,10.08%,27.34%,0.2857,1
2003,"$54,480.00",774,300,205,73,34,0.3537,57.41%,38.19%,86.72%,43.82%,474,63.75%,5.38%,32.74%,38.37%,7.55%,29.17%,0.2949,1
2004.01,"$36,840.00",950,650,363,122,0,0.3671,40.74%,41.12%,84.56%,44.34%,808,28.85%,8.90%,48.92%,45.86%,8.71%,31.03%,0.2871,1
2004.02,"$40,688.00",1138,661,732,161,74,0.41,36.68%,38.31%,87.03%,42.79%,1011,37.80%,19.05%,53.54%,38.91%,7.45%,27.57%,0.3072,1
2101,"$73,027.00",538,859,656,619,308,0.553,23.21%,49.67%,50.59%,59.92%,736,79.39%,67.03%,78.26%,62.18%,40.82%,81.61%,0.6821,4
2104,"$37,562.00",530,635,456,284,135,0.4881,31.29%,38.77%,72.38%,52.35%,591,31.24%,47.38%,64.56%,40.34%,24.00%,60.36%,0.4465,2
2105.01,"$47,423.00",740,1104,379,358,183,0.4654,37.20%,29.25%,80.06%,50.34%,729,51.60%,41.02%,53.26%,16.02%,15.37%,51.39%,0.3811,2
2105.02,"$48,386.00",731,1357,665,201,177,0.4554,34.40%,33.98%,75.25%,50.36%,999,53.79%,36.33%,57.54%,27.73%,20.70%,51.75%,0.4131,2
2106.01,"$46,589.00",698,615,337,257,120,0.4506,7.62%,38.60%,67.68%,49.03%,528,50.25%,34.23%,96.79%,39.55%,27.35%,45.71%,0.4898,3
2106.02,"$42,918.00",704,1172,386,542,136,0.4799,43.21%,32.86%,63.83%,48.90%,831,44.50%,44.89%,44.30%,25.52%,31.92%,44.97%,0.3935,2
2107,"$53,885.00",599,1144,494,600,284,0.5248,35.98%,37.88%,64.16%,53.70%,713,62.77%,59.02%,54.63%,37.01%,31.29%,66.38%,0.5185,3
2108,"$41,110.00",143,237,139,168,78,0.548,33.58%,32.75%,49.16%,57.96%,199,38.91%,64.84%,59.07%,25.10%,42.06%,78.59%,0.5143,3
2109,"$57,372.00",519,514,560,368,316,0.5515,20.79%,48.08%,54.84%,55.44%,477,67.22%,66.00%,80.97%,59.64%,37.71%,71.83%,0.6389,3
2203,"$85,731.00",79,180,261,663,416,0.7447,66.92%,38.89%,21.07%,56.19%,267,86.28%,92.25%,24.33%,40.53%,63.62%,75.30%,0.6372,3
2204,"$89,444.00",119,311,550,647,380,0.6855,31.87%,37.57%,24.97%,53.56%,282,88.04%,88.50%,63.07%,36.15%,59.52%,65.75%,0.6684,4
2205,"$65,088.00",247,354,390,809,334,0.659,34.10%,35.44%,32.07%,51.85%,225,73.40%,85.98%,58.26%,31.27%,54.36%,58.44%,0.6029,3
2206.01,"$40,170.00",128,269,384,284,243,0.6375,50.00%,32.89%,38.13%,48.84%,239,36.37%,83.04%,38.81%,25.58%,48.27%,44.78%,0.4614,2
2206.02,"$65,758.00",596,737,561,1212,455,0.6108,24.16%,24.47%,37.19%,48.35%,575,74.42%,79.46%,77.41%,8.82%,49.58%,42.74%,0.554,3
2207.01,"$41,964.00",509,767,566,231,107,0.4771,59.06%,37.13%,61.50%,46.92%,681,41.62%,43.79%,30.37%,35.35%,32.98%,37.38%,0.3691,2
2207.02,"$50,912.00",542,926,474,535,113,0.5036,51.24%,30.73%,65.42%,47.23%,771,57.54%,51.87%,37.71%,20.30%,30.21%,39.17%,0.3947,2
2209.01,"$46,272.00",476,953,415,213,67,0.4533,40.92%,32.20%,54.85%,43.20%,784,49.52%,35.48%,47.75%,23.98%,37.60%,28.52%,0.3714,2
2209.02,"$40,635.00",389,1020,471,276,64,0.4744,38.65%,36.24%,64.11%,46.42%,770,37.57%,43.26%,51.15%,33.51%,31.47%,36.20%,0.3886,2
2210,"$38,822.00",502,754,416,272,148,0.4862,44.00%,35.52%,65.61%,45.22%,683,33.42%,46.72%,43.32%,31.78%,29.59%,33.28%,0.3635,2
2211,"$39,206.00",446,1112,755,770,447,0.5807,54.35%,31.33%,35.01%,47.07%,700,34.83%,73.86%,35.05%,21.81%,51.72%,38.66%,0.4266,2
2212,"$62,566.00",376,396,532,644,330,0.6137,43.84%,40.70%,29.92%,50.02%,392,71.52%,80.09%,43.56%,45.02%,56.55%,50.02%,0.5779,3
2213,"$49,924.00",259,531,386,886,248,0.6288,29.10%,25.45%,38.96%,50.59%,421,56.15%,82.07%,68.97%,10.38%,47.69%,52.93%,0.5303,3
2214,"$43,578.00",316,654,491,635,220,0.5818,35.19%,39.38%,51.87%,54.99%,428,45.24%,74.30%,56.14%,42.63%,39.92%,70.07%,0.5472,3
2215,"$72,968.00",379,656,544,447,266,0.562,25.93%,26.67%,39.49%,60.13%,319,79.22%,68.94%,74.05%,12.12%,47.27%,82.02%,0.606,3
2216,"$125,487.00",86,187,390,867,673,0.7683,18.36%,39.97%,22.00%,58.90%,309,94.00%,93.98%,85.75%,44.20%,62.91%,79.81%,0.7678,4
2222,"$208,421.00",40,46,128,786,441,0.814,14.09%,56.54%,10.75%,58.90%,266,99.01%,97.42%,91.03%,72.51%,70.67%,79.74%,0.8506,4
2225,"$40,724.00",176,311,238,221,66,0.5387,55.26%,37.02%,57.15%,42.14%,232,37.99%,62.82%,34.22%,34.76%,36.18%,25.49%,0.3858,2
2226,"$42,567.00",196,371,325,242,108,0.5509,43.20%,29.53%,44.96%,41.50%,239,43.82%,65.48%,44.35%,16.99%,43.67%,24.85%,0.3986,2
2227,"$38,880.00",250,484,399,170,96,0.5111,60.07%,32.52%,50.88%,40.57%,442,33.67%,54.98%,29.67%,24.78%,40.47%,21.67%,0.3421,1
2228,"$18,447.00",143,217,92,150,40,0.515,82.54%,22.32%,59.35%,40.34%,251,1.51%,55.63%,10.18%,6.36%,34.26%,21.37%,0.2155,1
2229,"$33,822.00",252,230,163,27,81,0.4552,30.43%,41.34%,56.71%,41.05%,275,20.70%,36.10%,66.21%,46.33%,36.79%,23.40%,0.3826,2
2301,"$49,105.00",237,268,263,199,70,0.5223,59.09%,31.97%,44.60%,41.50%,294,54.64%,57.96%,30.21%,23.06%,43.92%,24.79%,0.391,2
2302,"$52,076.00",474,273,305,107,103,0.4561,54.40%,32.22%,67.24%,38.63%,445,58.62%,37.24%,34.83%,24.08%,27.88%,17.97%,0.3344,1
2303,"$44,194.00",316,178,115,32,13,0.37,14.01%,29.77%,89.44%,38.63%,254,46.65%,9.97%,91.20%,17.52%,3.45%,18.03%,0.3114,1
2304,"$45,823.00",657,410,354,50,48,0.3922,45.72%,46.10%,68.22%,38.63%,598,48.76%,13.80%,42.08%,55.63%,26.47%,17.87%,0.341,1
2305,"$34,893.00",685,914,488,121,0,0.4041,46.58%,26.44%,83.22%,45.91%,803,23.01%,16.46%,41.54%,11.80%,10.26%,34.59%,0.2294,1
2306,"$35,092.00",1492,1363,695,370,31,0.4018,81.57%,29.41%,58.59%,44.58%,1539,23.90%,15.69%,11.62%,16.72%,35.78%,32.12%,0.2264,1
2307,"$47,433.00",1349,1239,992,278,141,0.4311,64.49%,37.00%,74.03%,47.76%,1421,51.92%,26.27%,25.44%,34.71%,22.01%,40.74%,0.3352,1
2308,"$56,334.00",180,181,108,291,38,0.5564,25.61%,51.78%,79.51%,47.06%,267,65.25%,67.91%,74.30%,65.99%,15.61%,38.20%,0.5454,3
2309,"$35,563.00",898,872,902,548,253,0.5071,58.39%,31.30%,52.33%,44.97%,1073,24.96%,53.47%,30.93%,21.48%,39.57%,32.58%,0.3383,1
2311,"$35,294.00",211,327,183,42,15,0.426,58.26%,42.55%,18.36%,50.34%,268,23.96%,23.18%,31.35%,49.21%,65.67%,51.45%,0.4081,2
2312,"$28,966.00",1414,1236,970,183,37,0.4017,74.32%,34.41%,23.04%,48.06%,1447,11.59%,15.34%,19.25%,28.84%,62.05%,41.91%,0.2983,1
2315,"$31,740.00",1548,1453,878,147,61,0.3906,85.45%,33.41%,4.43%,46.62%,1274,16.97%,13.27%,7.99%,26.60%,82.55%,36.95%,0.3072,1
2402,"$130,762.00",74,126,154,365,280,0.7303,8.45%,51.59%,31.20%,56.91%,148,94.70%,91.06%,96.18%,65.38%,54.89%,77.03%,0.7987,4
2403,"$188,421.00",19,15,166,482,320,0.8134,12.67%,41.37%,7.22%,56.91%,126,98.79%,97.32%,92.48%,46.36%,75.06%,76.99%,0.8117,4
2405,"$126,970.00",68,100,109,960,552,0.8044,7.96%,64.58%,16.22%,56.61%,171,94.41%,97.06%,96.51%,80.49%,67.21%,75.80%,0.8525,4
2406,"$106,826.00",248,100,51,387,273,0.6636,48.61%,52.30%,46.31%,49.80%,235,92.29%,86.35%,39.70%,66.85%,42.77%,48.78%,0.6279,3
2407,"$48,760.00",263,203,162,211,227,0.588,18.67%,31.09%,65.51%,49.80%,337,54.06%,75.92%,85.38%,20.83%,29.83%,48.86%,0.5248,3
2408,"$37,854.00",292,357,326,174,67,0.4959,62.57%,29.90%,65.14%,48.49%,287,32.28%,49.81%,27.00%,18.28%,30.68%,43.52%,0.3359,1
2409,"$39,351.00",186,165,175,122,117,0.5527,21.71%,24.57%,49.66%,43.38%,185,34.93%,66.87%,80.56%,8.86%,41.99%,28.63%,0.4364,2
2410,"$38,333.00",446,279,217,310,159,0.523,76.85%,26.74%,45.29%,44.04%,352,32.85%,58.15%,15.89%,12.44%,43.62%,29.64%,0.321,1
2411,"$47,542.00",357,352,755,816,279,0.6241,72.63%,28.75%,31.71%,40.78%,506,52.22%,81.46%,21.10%,15.09%,54.86%,22.84%,0.4126,2
2412,"$102,386.00",236,77,209,469,258,0.6698,20.37%,33.08%,32.37%,40.78%,164,91.13%,86.92%,81.58%,25.61%,54.04%,22.87%,0.6036,3
2413,"$90,836.00",86,211,115,634,281,0.7225,51.19%,37.84%,15.88%,47.23%,149,88.42%,90.95%,37.93%,36.85%,67.47%,38.84%,0.6008,3
2414,"$112,128.00",300,248,279,1541,1116,0.7679,29.19%,32.18%,15.45%,47.23%,376,92.66%,93.91%,68.41%,23.80%,67.72%,38.93%,0.6424,3
2415,"$136,880.00",73,173,284,1308,472,0.7674,22.10%,37.56%,16.40%,51.61%,268,95.13%,93.78%,80.07%,36.08%,67.15%,56.38%,0.7143,4
2416,"$88,911.00",178,146,403,1619,637,0.7603,17.70%,29.93%,22.54%,49.64%,326,87.90%,93.28%,86.80%,18.35%,62.47%,47.98%,0.6613,4
2420,"$67,765.00",666,617,468,1286,636,0.6332,37.35%,25.92%,25.19%,48.06%,447,76.47%,82.61%,52.87%,11.08%,59.29%,41.58%,0.5398,3
2421,"$172,548.00",194,78,285,1261,857,0.7876,24.53%,44.58%,15.90%,51.38%,343,98.28%,95.80%,75.93%,53.00%,67.41%,55.32%,0.7429,4
2422,"$101,833.00",197,140,210,1368,677,0.7688,23.15%,38.10%,22.89%,53.73%,304,91.01%,94.07%,78.33%,37.82%,62.35%,66.45%,0.7167,4
2423,"$98,133.00",78,195,491,983,812,0.7763,33.06%,35.64%,26.71%,57.65%,254,89.50%,95.27%,60.19%,32.32%,58.42%,78.19%,0.6898,4
2424,"$80,418.00",326,252,339,1012,464,0.6866,25.00%,28.43%,47.64%,46.12%,194,82.35%,88.54%,75.63%,14.09%,42.53%,34.77%,0.5632,3
2425,"$42,335.00",513,402,627,618,318,0.586,52.74%,30.61%,56.43%,42.67%,400,42.89%,75.08%,36.06%,19.42%,36.88%,26.58%,0.3949,2
2426,"$52,803.00",932,595,982,1172,505,0.5868,28.26%,29.62%,44.81%,42.22%,801,60.02%,75.70%,71.07%,17.34%,43.85%,25.68%,0.4894,3
2427,"$23,293.00",200,283,349,321,152,0.5911,88.84%,27.43%,38.24%,42.96%,400,3.69%,76.60%,6.51%,13.38%,48.22%,28.14%,0.2942,1
2428,"$81,296.00",77,316,205,364,142,0.6322,19.26%,50.67%,36.32%,42.96%,166,83.52%,82.51%,83.77%,63.51%,50.56%,28.05%,0.6532,4
2429,"$71,786.00",139,309,183,498,324,0.6769,37.02%,43.91%,30.63%,67.49%,210,78.45%,87.45%,53.31%,51.93%,56.04%,93.10%,0.7005,4
2430,"$66,300.00",355,306,240,415,435,0.6307,32.88%,46.80%,52.10%,61.87%,283,75.54%,82.42%,60.50%,58.09%,39.82%,85.17%,0.6692,4
2431,"$74,888.00",390,217,184,430,340,0.6145,31.19%,44.81%,52.25%,55.59%,290,80.37%,80.19%,64.73%,53.50%,39.75%,72.59%,0.6519,4
2432,"$141,200.00",300,111,223,562,353,0.6719,29.34%,41.62%,30.22%,55.59%,247,95.93%,87.09%,67.71%,46.98%,56.46%,72.64%,0.7113,4
2433,"$117,922.00",128,269,255,552,338,0.6912,39.37%,33.72%,27.63%,48.06%,204,93.28%,89.15%,50.46%,26.85%,57.54%,41.39%,0.5978,3
2434,"$48,736.00",364,465,535,794,429,0.6355,42.46%,40.90%,39.72%,48.06%,376,53.98%,82.81%,44.87%,45.53%,46.95%,41.48%,0.526,3
2435,"$117,313.00",92,183,422,1113,736,0.7742,44.63%,51.58%,17.68%,59.18%,317,92.98%,94.79%,42.98%,65.35%,66.25%,80.36%,0.7378,4
2502,"$50,558.00",511,615,588,66,79,0.448,57.46%,55.20%,30.22%,38.49%,525,56.70%,32.84%,32.63%,70.53%,56.41%,17.14%,0.4438,2
2503,"$41,273.00",801,959,914,241,78,0.4554,70.23%,42.26%,21.05%,34.88%,968,39.59%,36.55%,22.53%,48.42%,63.84%,7.66%,0.3643,2
2504,"$40,541.00",705,1660,1323,310,61,0.47,77.75%,45.31%,13.96%,36.26%,1113,37.26%,42.29%,14.67%,54.57%,69.04%,11.91%,0.3829,2
2505,"$88,092.00",434,1153,1655,1199,718,0.6238,20.73%,83.69%,31.91%,51.65%,1164,87.72%,81.16%,81.23%,94.49%,54.71%,56.69%,0.76,4
2506,"$49,490.00",672,854,1045,161,134,0.4766,52.09%,63.46%,7.45%,35.50%,764,55.35%,43.63%,37.09%,79.24%,74.44%,9.27%,0.4984,3
2507,"$31,521.00",1083,1429,1345,213,73,0.4438,84.98%,38.24%,3.62%,34.91%,1020,16.38%,30.81%,8.34%,38.60%,85.03%,8.09%,0.3121,1
2508,"$38,327.00",366,579,364,107,46,0.4479,71.07%,52.24%,8.12%,33.72%,436,32.77%,32.72%,21.79%,66.79%,73.35%,5.66%,0.3885,2
2510,"$54,740.00",141,447,130,16,29,0.4283,91.30%,40.86%,7.18%,36.29%,291,63.86%,24.49%,4.84%,45.44%,75.13%,12.19%,0.3766,2
2511,"$35,305.00",850,1048,639,138,28,0.411,73.41%,30.85%,6.32%,36.83%,807,24.15%,19.44%,20.53%,20.65%,76.56%,14.09%,0.2923,1
2512,"$42,380.00",717,671,921,231,41,0.4611,57.88%,61.83%,6.17%,36.27%,702,43.30%,39.53%,32.17%,77.90%,77.06%,12.07%,0.47,2
2513,"$32,042.00",686,1112,967,158,81,0.4559,75.45%,43.27%,3.87%,29.58%,844,17.56%,36.85%,17.41%,51.31%,84.43%,1.37%,0.3482,2
2514,"$42,288.00",753,870,799,258,116,0.4651,76.49%,31.71%,4.30%,40.82%,711,42.80%,40.85%,16.11%,22.94%,83.16%,23.21%,0.3818,2
2515,"$43,471.00",766,1321,840,179,51,0.4371,86.22%,33.91%,4.82%,40.33%,999,45.04%,28.71%,7.65%,27.37%,81.16%,21.31%,0.3521,2
2516,"$41,511.00",640,734,655,88,73,0.4374,63.31%,42.59%,10.10%,46.82%,659,39.74%,28.86%,25.91%,49.36%,71.11%,37.18%,0.4203,2
2517,"$35,362.00",459,225,151,78,18,0.3789,70.89%,44.03%,13.90%,49.02%,316,24.39%,11.13%,21.93%,52.51%,69.11%,45.59%,0.3744,2
2518,"$26,591.00",961,1228,601,162,45,0.4066,74.11%,26.70%,0.19%,32.48%,1061,7.55%,17.78%,19.78%,12.36%,98.75%,3.73%,0.2666,1
2519,"$26,677.00",903,1253,928,125,41,0.4245,74.81%,22.73%,1.36%,41.66%,1088,7.85%,22.85%,18.87%,6.84%,93.17%,25.09%,0.2911,1
2520,"$25,815.00",722,1470,1002,244,62,0.4545,81.72%,15.75%,3.89%,42.32%,934,5.53%,35.82%,11.27%,2.52%,84.08%,26.02%,0.2754,1
2521.01,"$36,324.00",213,416,257,163,33,0.4867,100.00%,25.81%,8.76%,35.44%,234,25.90%,46.77%,1.16%,10.69%,72.23%,8.86%,0.276,1
2521.02,"$34,081.00",1248,1503,987,332,110,0.4351,82.66%,35.17%,2.00%,33.32%,1223,21.20%,28.12%,10.12%,30.74%,90.87%,5.35%,0.3107,1
2522.01,"$25,911.00",548,692,542,125,23,0.4324,60.10%,40.98%,3.02%,32.28%,375,5.62%,26.86%,29.57%,45.63%,87.03%,3.43%,0.3302,1
2522.02,"$49,683.00",575,1480,800,227,61,0.4549,74.15%,30.71%,0.81%,34.86%,942,55.78%,36.04%,19.46%,19.93%,95.97%,7.44%,0.391,2
2601,"$18,733.00",194,456,176,44,44,0.4442,100.00%,21.90%,0.31%,40.48%,228,1.72%,31.09%,1.16%,5.94%,98.38%,21.55%,0.2664,1
2602,"$26,068.00",54,228,199,0,4,0.4647,81.25%,29.61%,1.56%,37.31%,176,6.04%,40.36%,11.72%,17.15%,92.03%,14.90%,0.3037,1
2603,"$23,350.00",170,376,272,51,17,0.4576,87.64%,24.75%,0.00%,38.34%,300,3.92%,37.60%,6.95%,9.09%,100.00%,16.89%,0.2907,1
2604,"$39,292.00",358,242,221,45,0,0.3891,81.48%,30.40%,0.53%,42.57%,266,34.89%,12.98%,11.68%,19.11%,97.63%,26.39%,0.3378,1
2605,"$37,377.00",336,431,234,74,0,0.4086,95.24%,30.65%,0.00%,68.80%,377,30.64%,18.29%,2.93%,19.72%,100.00%,94.03%,0.4427,2
2606,"$28,187.00",250,457,415,61,43,0.4679,66.09%,31.17%,1.02%,70.93%,428,10.82%,41.58%,24.78%,21.23%,94.56%,95.47%,0.4807,3
2607,"$33,553.00",265,446,313,36,15,0.4307,95.33%,29.40%,2.10%,55.48%,369,20.26%,25.32%,2.85%,16.37%,90.24%,72.02%,0.3784,2
2608,"$31,848.00",432,748,330,17,20,0.399,91.67%,24.58%,1.13%,33.47%,479,17.08%,14.80%,4.33%,8.97%,94.38%,5.46%,0.2417,1
2609,"$20,054.00",188,338,194,35,16,0.4322,90.17%,27.93%,0.00%,43.23%,328,2.08%,26.78%,5.80%,13.54%,100.00%,28.59%,0.2946,1
2610,"$32,263.00",378,577,474,88,18,0.4425,77.55%,38.71%,0.61%,45.83%,452,18.02%,30.22%,15.04%,40.15%,97.13%,34.41%,0.3916,2
2705,"$21,179.00",337,330,256,76,62,0.4484,75.11%,13.48%,4.10%,42.11%,340,2.55%,33.05%,18.04%,1.80%,83.53%,25.44%,0.274,1
2712,"$45,731.00",246,228,287,18,25,0.4378,50.34%,32.12%,0.56%,44.48%,257,48.63%,28.92%,38.15%,23.50%,97.51%,31.77%,0.4475,2
2713,"$14,285.00",121,269,157,58,26,0.4729,86.57%,22.45%,0.67%,43.08%,233,0.70%,42.89%,7.34%,6.42%,96.76%,28.26%,0.304,1
2714,"$40,853.00",209,302,490,79,15,0.4884,89.78%,27.43%,2.81%,43.08%,335,38.38%,47.53%,6.27%,13.28%,87.81%,28.34%,0.3693,2
2715,"$53,281.00",190,373,315,99,31,0.4825,60.44%,41.73%,0.53%,43.03%,286,61.35%,45.47%,29.26%,47.11%,97.57%,28.21%,0.5149,3
2718,"$20,461.00",35,274,170,68,0,0.4991,88.11%,21.22%,0.00%,41.05%,197,2.13%,50.82%,6.66%,5.34%,100.00%,23.44%,0.314,1
2801,"$213,077.00",30,266,546,1928,2052,0.8367,16.84%,54.71%,17.03%,70.85%,251,99.31%,98.95%,88.41%,70.31%,66.47%,95.29%,0.8645,4
2804,"$30,831.00",160,258,368,158,57,0.5389,92.44%,24.08%,5.44%,35.44%,301,14.47%,62.88%,3.97%,8.21%,79.14%,8.80%,0.2958,1
2808,"$102,970.00",170,158,210,51,4,0.4519,67.48%,24.75%,1.90%,45.39%,210,91.26%,35.13%,24.07%,9.02%,91.05%,33.60%,0.4736,2
2809,"$12,675.00",145,131,151,34,94,0.5283,100.00%,25.13%,6.50%,29.29%,307,0.36%,60.02%,1.16%,9.86%,75.85%,0.98%,0.247,1
2819,"$103,875.00",71,61,229,1585,1507,0.8546,0.00%,28.97%,40.34%,67.92%,179,91.65%,99.85%,100.00%,15.40%,46.30%,93.26%,0.7441,4
2827,"$53,413.00",442,303,277,430,317,0.5861,88.71%,45.16%,36.50%,41.07%,427,61.50%,75.18%,6.61%,54.07%,50.52%,23.73%,0.4527,2
2828,"$58,416.00",60,241,248,248,310,0.6916,11.73%,38.49%,33.17%,47.63%,219,68.42%,89.20%,93.26%,39.20%,53.18%,40.10%,0.6389,3
2831,"$88,913.00",91,239,275,475,475,0.7291,75.34%,14.25%,32.53%,28.87%,314,87.97%,91.02%,17.61%,2.02%,53.63%,0.38%,0.4211,2
2832,"$97,226.00",169,92,144,318,386,0.719,62.58%,44.86%,26.59%,28.87%,233,89.38%,90.56%,26.94%,53.60%,58.63%,0.44%,0.5326,3
2838,"$72,103.00",275,373,532,806,583,0.6817,50.12%,44.43%,21.95%,28.87%,425,78.55%,87.92%,38.75%,52.92%,63.01%,0.60%,0.5363,3
2909,"$23,553.00",795,808,1006,142,10,0.438,91.65%,31.50%,0.69%,40.71%,1029,4.36%,29.16%,4.56%,22.07%,96.60%,22.12%,0.2981,1
2912,"$22,215.00",243,421,432,69,72,0.4878,91.54%,25.00%,2.21%,32.25%,575,3.07%,47.25%,4.78%,9.56%,89.72%,3.34%,0.2629,1
2916,"$21,628.00",323,73,68,31,40,0.3727,68.29%,28.78%,73.88%,55.91%,202,2.65%,10.14%,23.73%,15.14%,22.05%,73.59%,0.2455,1
2922,"$27,343.00",448,543,576,106,55,0.4584,90.77%,29.15%,1.96%,34.25%,586,9.25%,38.14%,5.21%,15.77%,91.00%,6.63%,0.2767,1
2924,"$34,234.00",352,476,354,57,36,0.4351,79.03%,25.28%,0.58%,36.62%,454,21.30%,28.22%,13.05%,9.96%,97.45%,13.52%,0.3058,1
2925,"$30,643.00",716,718,844,145,64,0.4491,73.73%,37.65%,0.52%,37.38%,799,14.03%,33.86%,20.34%,36.82%,97.95%,15.66%,0.3644,2
3005,"$32,221.00",939,578,388,29,17,0.3547,32.51%,28.27%,90.08%,48.67%,713,17.91%,5.57%,61.76%,13.85%,3.29%,44.10%,0.2441,1
3006,"$39,182.00",935,352,403,111,39,0.379,20.21%,38.60%,72.80%,50.43%,727,34.67%,11.29%,82.05%,39.72%,23.47%,52.02%,0.4054,2
3007,"$31,024.00",1643,623,469,155,82,0.3584,62.03%,27.21%,91.58%,51.49%,1377,15.40%,6.34%,27.65%,12.96%,1.88%,55.74%,0.1999,1
3008,"$26,937.00",1556,555,289,75,31,0.3183,35.37%,28.71%,94.21%,42.76%,1214,8.90%,1.65%,55.68%,14.97%,0.49%,27.01%,0.1812,1
3009,"$27,399.00",1457,933,302,3,3,0.3155,68.49%,25.87%,88.44%,43.98%,1284,9.54%,1.37%,23.57%,10.98%,4.89%,29.56%,0.1332,1
3011,"$29,201.00",890,283,128,81,24,0.3249,40.89%,23.64%,85.67%,46.93%,628,11.85%,2.15%,48.31%,7.89%,8.03%,37.52%,0.1929,1
3012,"$33,961.00",1545,413,233,159,81,0.3382,39.62%,29.83%,87.25%,42.84%,986,20.92%,3.32%,50.33%,17.74%,6.12%,27.80%,0.2104,1
3016,"$30,165.00",1559,721,485,119,26,0.3479,49.37%,39.52%,91.14%,46.39%,1200,13.34%,4.78%,39.39%,42.91%,2.16%,35.95%,0.2309,1
3017.01,"$35,083.00",1302,733,245,308,2,0.3664,36.35%,32.13%,95.70%,47.54%,941,23.55%,8.72%,54.13%,23.71%,0.21%,39.93%,0.2504,1
3017.02,"$30,738.00",1441,613,75,115,0,0.2988,19.32%,38.63%,93.96%,47.30%,1015,14.30%,0.23%,83.73%,39.95%,0.72%,39.61%,0.2976,1
3018.01,"$34,716.00",1411,501,285,22,22,0.3093,18.69%,39.28%,92.43%,52.92%,943,22.17%,0.63%,85.11%,42.47%,1.47%,63.31%,0.3586,2
3018.02,"$34,909.00",1473,290,170,50,78,0.306,32.96%,33.26%,89.21%,48.74%,797,23.19%,0.41%,60.37%,26.06%,3.63%,44.60%,0.2638,1
3018.03,"$27,690.00",1778,789,439,87,29,0.3309,53.54%,38.99%,87.21%,52.31%,1388,9.98%,2.46%,35.86%,41.16%,6.43%,59.97%,0.2598,1
3102,"$80,286.00",176,247,199,248,253,0.6276,53.85%,34.39%,45.75%,48.54%,188,82.30%,81.93%,35.54%,28.50%,43.43%,43.77%,0.5258,3
3103,"$66,628.00",222,139,264,394,150,0.619,48.91%,28.38%,59.62%,48.60%,267,75.76%,80.70%,39.52%,13.97%,34.20%,43.94%,0.4802,3
3104,"$51,447.00",352,191,155,210,142,0.5236,69.59%,33.54%,71.89%,48.68%,271,58.19%,58.40%,22.98%,26.80%,24.64%,44.17%,0.392,2
3105,"$47,976.00",572,573,108,76,68,0.3845,47.60%,30.88%,91.73%,48.73%,431,53.08%,11.91%,40.65%,20.75%,1.57%,44.41%,0.2873,1
3106,"$47,400.00",1466,960,988,631,300,0.4775,33.08%,20.07%,66.81%,55.37%,1030,51.43%,44.02%,60.13%,4.60%,28.52%,71.45%,0.4336,2
3107,"$55,497.00",547,213,200,249,71,0.4569,60.67%,23.45%,72.00%,46.41%,346,64.60%,37.53%,29.02%,7.68%,24.58%,36.03%,0.3324,1
3108,"$38,970.00",1374,801,489,288,96,0.3986,37.24%,25.08%,79.14%,44.41%,982,34.43%,14.69%,53.10%,9.79%,16.24%,31.42%,0.2661,1
3109,"$32,718.00",1346,686,616,450,81,0.426,48.00%,26.00%,80.41%,44.24%,1057,18.43%,23.42%,40.26%,11.33%,14.79%,30.33%,0.2309,1
3201,"$137,995.00",125,483,1493,4400,3993,0.8221,0.00%,40.84%,24.80%,74.88%,614,95.27%,98.02%,100.00%,45.37%,59.93%,97.52%,0.8269,4
