TRACT,Estimated Median Family Income,Less Than High School,High School,Some College,College Graduate,Graduate School,Educational Attainment Score,% of Single Parent Households,% of Owner Occupied Homes,% of Population Speaking a Language Other than English,Weighted Average ISAT Performance at Attendance Area Schools,Number of School Age Children,Estimated Median Family Income Cumulative Percentage,Educational Attainment Score Cumulative Percentage,% of Single Parent Households Cumulative Percentage,% of Owner Occupied Homes Cumulative Percentage,% of Population Speaking a Language Other than English Cumulative Percentage,Weighted Average ISAT Performance at Attendance Area Schools Cumulative Percentage,6-Factor Socioeconomic Score,6-Factor Socioeconomic Tier
101,"$50,733",484,770,1100,744,323,0.5797,65.78%,23.23%,17.81%,38.64%,740,56.45%,77.01%,24.86%,7.88%,63.93%,16.87%,0.4117,2
102.01,"$45,528",817,870,1112,990,436,0.5696,43.14%,37.49%,41.81%,51.74%,1202,47.54%,75.01%,46.01%,36.61%,45.72%,42.82%,0.4895,3
102.02,"$70,701",415,361,591,286,231,0.553,49.22%,28.79%,33.53%,47.85%,387,80.29%,70.75%,39.47%,16.29%,52.01%,32.91%,0.4862,3
103,"$53,682",906,969,1413,899,588,0.5704,41.39%,34.49%,32.18%,41.93%,634,61.90%,75.38%,48.26%,29.69%,53.49%,22.65%,0.4856,3
104,"$85,438",294,358,684,732,694,0.685,31.21%,26.43%,33.72%,55.76%,265,88.14%,90.67%,65.87%,12.24%,51.83%,54.46%,0.6053,3
105.01,"$25,990",330,473,638,971,686,0.6781,68.34%,21.20%,29.97%,63.09%,359,5.28%,90.24%,23.03%,5.65%,55.88%,74.87%,0.4249,2
105.02,"$41,182",435,286,587,659,302,0.6094,36.69%,23.80%,32.08%,51.63%,224,39.77%,82.68%,55.94%,8.42%,53.54%,42.34%,0.4712,2
105.03,"$46,288",372,143,285,449,344,0.6314,12.70%,15.56%,30.02%,51.46%,76,48.60%,85.78%,93.91%,2.76%,55.79%,41.76%,0.5477,3
106,"$62,385",486,895,1059,1146,977,0.654,33.21%,33.75%,41.35%,56.85%,651,72.62%,89.00%,59.96%,27.81%,46.07%,57.95%,0.589,3
107.01,"$70,171",461,368,507,801,575,0.6487,38.89%,46.67%,43.72%,66.47%,698,80.20%,87.81%,52.01%,57.36%,44.45%,80.55%,0.6706,4
107.02,"$47,621",1100,709,456,760,417,0.5236,31.89%,31.87%,57.83%,61.97%,971,51.16%,61.46%,63.43%,23.62%,35.61%,71.80%,0.5118,3
201,"$61,101",402,525,721,543,420,0.6041,31.15%,46.37%,34.75%,64.86%,701,70.89%,81.57%,66.03%,55.93%,50.93%,77.84%,0.672,4
202,"$84,051",598,759,971,1249,951,0.6528,23.32%,75.64%,41.10%,77.06%,1459,86.70%,88.64%,78.88%,88.34%,46.47%,94.06%,0.8052,4
203.01,"$79,631",328,658,768,1110,543,0.6518,20.80%,77.15%,33.45%,67.74%,949,84.61%,88.25%,84.25%,90.09%,52.23%,82.77%,0.8037,4
203.02,"$75,947",633,683,622,694,553,0.5906,13.07%,58.73%,50.90%,71.05%,790,82.43%,79.22%,93.05%,74.38%,40.32%,88.19%,0.7626,4
204,"$64,643",333,581,832,607,608,0.6389,18.02%,51.87%,46.91%,64.86%,783,75.21%,86.89%,88.32%,65.48%,42.27%,77.84%,0.7267,4
205,"$43,517",1088,1111,740,748,394,0.5142,35.47%,31.59%,66.73%,62.26%,1139,43.85%,58.51%,56.82%,22.86%,27.72%,73.41%,0.472,2
206.01,"$50,992",901,1002,969,625,566,0.5485,21.99%,39.91%,65.52%,65.15%,1350,56.97%,69.26%,82.13%,43.93%,29.12%,78.33%,0.5996,3
206.02,"$56,709",647,543,555,752,474,0.5908,17.50%,46.61%,67.31%,63.09%,824,66.15%,79.41%,88.65%,57.14%,27.05%,74.57%,0.655,4
207.01,"$76,486",36,329,429,334,163,0.6401,40.00%,64.27%,41.31%,70.77%,300,82.50%,86.96%,50.17%,79.32%,46.14%,87.47%,0.7209,4
207.02,"$52,429",1150,1087,1213,905,462,0.5353,19.98%,40.70%,65.52%,66.84%,1285,60.11%,65.15%,85.54%,45.07%,29.42%,81.05%,0.6105,3
208.01,"$54,142",860,656,1039,770,417,0.5587,39.02%,42.80%,60.57%,70.77%,861,62.59%,72.63%,51.61%,50.14%,32.76%,87.47%,0.5953,3
208.02,"$60,909",998,684,1119,1095,358,0.5591,19.22%,34.75%,66.71%,67.06%,1240,70.60%,73.19%,86.55%,30.03%,28.01%,81.44%,0.6164,3
209.01,"$40,370",972,936,707,747,275,0.513,20.91%,38.34%,75.18%,69.53%,1029,38.37%,57.73%,83.75%,39.21%,20.00%,84.77%,0.5397,3
209.02,"$45,204",549,1214,665,487,138,0.4985,10.39%,57.12%,67.54%,70.98%,603,46.88%,54.09%,96.08%,72.33%,26.86%,87.95%,0.6403,3
301.01,"$69,198",345,413,776,895,633,0.6691,33.18%,38.43%,46.98%,68.75%,291,79.21%,89.63%,60.08%,39.53%,42.05%,84.06%,0.6576,4
301.02,"$65,541",171,515,772,686,450,0.6562,25.14%,43.59%,37.74%,68.77%,181,77.05%,89.11%,76.90%,51.52%,49.32%,84.10%,0.7133,4
301.03,"$25,150",51,249,361,517,408,0.7238,0.00%,33.48%,37.28%,68.75%,61,3.98%,93.06%,100.00%,27.25%,49.69%,84.06%,0.5967,3
301.04,"$44,524",85,403,739,354,97,0.597,41.50%,33.95%,39.16%,68.75%,90,45.78%,80.14%,47.93%,28.54%,48.00%,84.06%,0.5574,3
302,"$84,412",171,368,1030,1202,1052,0.7358,14.72%,51.02%,18.51%,69.69%,605,87.45%,93.49%,91.34%,64.05%,63.23%,84.91%,0.8074,4
303,"$67,252",341,685,620,521,320,0.5834,33.85%,33.85%,54.37%,70.98%,506,77.75%,77.57%,58.18%,28.43%,38.17%,87.95%,0.6134,3
304,"$65,142",371,146,337,667,526,0.6812,31.03%,42.09%,42.71%,68.22%,344,76.79%,90.36%,66.56%,47.87%,45.12%,83.24%,0.6832,4
305,"$77,438",689,559,784,1668,1146,0.6835,31.84%,40.03%,37.85%,68.31%,620,83.03%,90.54%,63.62%,44.10%,49.22%,83.38%,0.6899,4
306.01,"$44,011",273,675,616,901,584,0.6556,53.68%,36.63%,32.20%,68.75%,305,44.83%,89.07%,34.91%,34.14%,53.34%,84.06%,0.5673,3
306.03,"$27,967",86,175,721,606,162,0.6666,79.07%,12.94%,30.60%,68.75%,189,9.12%,89.56%,15.66%,1.49%,55.36%,84.06%,0.4254,2
306.04,"$66,960",61,328,457,959,669,0.7493,13.92%,28.43%,36.39%,68.75%,156,77.51%,94.10%,92.29%,14.90%,50.35%,84.06%,0.6887,4
307.01,"$59,744",125,136,575,294,322,0.676,23.08%,25.96%,25.76%,70.28%,109,69.82%,89.76%,79.49%,11.75%,58.92%,86.14%,0.6598,4
307.02,"$63,196",88,280,301,330,465,0.7098,0.00%,61.63%,44.44%,70.28%,81,73.16%,92.27%,100.00%,76.79%,43.93%,86.14%,0.7872,4
307.03,"$26,953",220,423,525,725,638,0.6899,0.00%,31.37%,29.88%,70.28%,183,6.84%,90.96%,100.00%,22.17%,56.22%,86.14%,0.6039,3
307.06,"$79,487",326,436,443,903,929,0.7102,37.43%,35.99%,43.07%,70.28%,203,84.39%,92.32%,54.63%,32.67%,44.82%,86.14%,0.6583,4
308,"$104,214",267,457,499,1329,1282,0.7514,33.50%,43.42%,22.84%,68.22%,448,92.61%,94.24%,58.91%,51.42%,61.07%,83.24%,0.7358,4
309,"$86,967",262,260,434,1037,536,0.7048,23.85%,43.77%,30.12%,69.86%,323,88.85%,92.24%,78.17%,51.59%,55.78%,85.07%,0.7528,4
310,"$73,141",282,263,422,921,735,0.7193,33.78%,38.43%,25.16%,54.56%,284,81.38%,92.83%,58.25%,39.29%,59.62%,50.92%,0.6371,3
311,"$98,554",293,703,499,1220,767,0.6841,28.92%,30.06%,45.89%,48.23%,266,91.84%,90.61%,71.01%,19.23%,42.63%,33.34%,0.5811,3
312,"$36,644",822,1373,987,867,471,0.5465,42.37%,22.47%,36.53%,59.58%,656,25.18%,68.64%,46.94%,6.79%,50.23%,65.67%,0.4391,2
313,"$62,659",733,929,1138,1211,1048,0.6361,38.29%,37.21%,44.92%,56.41%,604,72.97%,86.25%,52.34%,35.92%,43.16%,56.45%,0.5785,3
314,"$119,229",242,291,670,1851,1479,0.778,53.06%,58.86%,15.79%,70.70%,158,95.12%,96.64%,35.48%,74.83%,65.45%,87.20%,0.7579,4
315.01,"$32,662",752,780,691,643,448,0.555,24.48%,21.01%,59.01%,70.70%,510,15.66%,71.44%,77.34%,5.28%,34.25%,87.20%,0.4853,3
315.02,"$33,302",401,666,893,967,291,0.605,64.53%,15.05%,37.06%,70.70%,566,17.16%,81.70%,25.99%,2.53%,49.86%,87.20%,0.4407,2
317,"$47,691",580,1041,976,1718,868,0.6484,42.33%,34.95%,24.26%,71.96%,614,51.61%,87.65%,47.08%,30.65%,60.24%,89.27%,0.6108,3
318,"$121,477",106,101,219,460,418,0.7508,0.00%,40.97%,36.48%,59.47%,149,95.27%,94.14%,100.00%,45.79%,50.31%,65.52%,0.7517,4
319,"$92,448",9,274,460,723,469,0.7415,48.69%,40.78%,21.94%,62.30%,235,90.58%,93.81%,40.13%,45.40%,61.46%,73.70%,0.6751,4
321,"$69,245",734,866,1065,2103,1625,0.6944,27.58%,29.78%,25.04%,70.70%,464,79.32%,91.10%,72.94%,18.56%,59.72%,87.20%,0.6814,4
401,"$75,236",363,517,571,875,397,0.6313,22.12%,45.63%,27.63%,71.29%,483,82.17%,85.76%,81.82%,54.84%,57.53%,88.72%,0.7514,4
402.01,"$68,880",796,852,816,1456,892,0.6331,26.55%,38.90%,44.53%,69.19%,690,79.00%,85.99%,74.34%,41.02%,43.74%,84.54%,0.681,4
402.02,"$57,451",900,1252,1195,1511,375,0.5698,33.70%,37.80%,64.05%,70.14%,990,67.45%,75.23%,58.48%,37.86%,30.87%,85.88%,0.593,3
403,"$67,246",166,455,573,609,446,0.6635,21.00%,60.95%,49.78%,69.95%,465,77.64%,89.43%,83.51%,76.26%,41.02%,85.45%,0.7555,4
404.01,"$62,448",358,310,377,719,515,0.6634,15.11%,48.98%,33.56%,67.41%,398,72.83%,89.32%,90.70%,60.73%,51.92%,82.02%,0.7459,4
404.02,"$85,180",460,211,378,1459,823,0.7185,47.34%,33.23%,25.22%,56.70%,389,88.08%,92.73%,41.22%,26.33%,59.50%,57.40%,0.6088,3
406,"$104,424",50,209,279,784,524,0.765,0.00%,27.57%,33.14%,58.26%,221,92.89%,95.54%,100.00%,13.68%,52.80%,62.34%,0.6954,4
407,"$95,971",301,311,441,655,769,0.7034,39.79%,42.98%,32.70%,72.86%,322,91.23%,91.89%,50.24%,50.48%,52.87%,90.35%,0.7118,4
408,"$82,764",173,89,257,382,308,0.6931,21.30%,41.66%,12.09%,72.86%,122,85.64%,90.99%,83.23%,47.36%,68.15%,90.35%,0.7762,4
409,"$92,570",139,179,284,443,412,0.7112,5.13%,29.57%,23.89%,63.71%,190,90.62%,92.41%,97.88%,18.15%,60.50%,76.03%,0.726,4
501,"$107,683",78,134,281,766,349,0.746,13.48%,35.47%,16.69%,77.67%,204,93.34%,93.97%,92.66%,31.68%,64.84%,94.34%,0.7847,4
502,"$133,369",329,568,568,1305,818,0.6956,17.71%,45.33%,30.52%,85.05%,600,96.12%,91.28%,88.46%,54.24%,55.55%,98.12%,0.8063,4
503,"$100,191",47,401,334,712,358,0.7008,15.00%,49.87%,13.72%,79.90%,327,92.06%,91.75%,90.98%,62.08%,66.96%,95.64%,0.8325,4
505,"$118,561",81,426,531,1431,1085,0.7696,19.50%,45.41%,11.40%,83.82%,805,95.08%,95.89%,86.26%,54.42%,68.56%,97.89%,0.8302,4
506,"$110,171",46,117,269,823,293,0.755,18.82%,50.25%,13.02%,82.66%,190,93.95%,94.99%,87.26%,62.20%,67.26%,97.10%,0.8379,4
507,"$145,820",38,130,146,425,255,0.7467,33.61%,63.03%,10.88%,78.87%,149,97.49%,94.00%,58.81%,78.19%,69.06%,95.02%,0.821,4
508,"$142,594",29,83,100,388,326,0.7942,0.00%,47.90%,10.92%,81.14%,193,97.27%,97.34%,100.00%,58.48%,69.03%,96.17%,0.8638,4
509,"$157,553",16,63,72,516,379,0.8254,0.00%,38.27%,19.30%,82.59%,171,98.06%,98.64%,100.00%,38.97%,62.68%,97.05%,0.8257,4
510,"$125,755",28,151,202,596,226,0.7398,19.89%,48.17%,17.48%,81.14%,177,95.53%,93.75%,85.98%,59.75%,64.12%,96.17%,0.8255,4
511,"$148,126",13,169,90,567,322,0.775,7.55%,44.97%,13.19%,81.14%,197,97.61%,96.36%,96.53%,53.91%,67.22%,96.17%,0.8463,4
512,"$142,289",125,90,174,477,264,0.7177,19.02%,40.80%,11.80%,64.31%,166,97.22%,92.64%,86.82%,45.43%,68.31%,76.99%,0.779,4
513,"$161,995",41,203,216,887,568,0.7815,5.97%,65.76%,19.21%,57.58%,402,98.29%,96.74%,97.56%,81.15%,62.77%,60.37%,0.8281,4
514,"$97,415",40,156,311,524,278,0.729,36.20%,51.75%,21.49%,56.68%,228,91.56%,93.20%,56.24%,65.25%,61.65%,57.31%,0.7087,4
601,"$104,738",8,83,470,815,556,0.7892,20.76%,50.27%,20.11%,75.94%,311,93.11%,97.12%,84.41%,62.33%,62.46%,93.46%,0.8215,4
602,"$98,441",100,295,468,580,291,0.6769,18.95%,33.25%,26.05%,62.30%,251,91.78%,90.07%,86.88%,26.38%,58.49%,73.70%,0.7122,4
603,"$144,500",45,229,293,862,761,0.7886,32.73%,47.99%,9.39%,85.75%,341,97.41%,97.05%,60.85%,59.02%,70.46%,98.31%,0.8052,4
604,"$130,880",61,153,260,1077,832,0.807,15.87%,43.02%,15.07%,89.57%,409,95.92%,97.72%,90.29%,50.57%,65.90%,99.40%,0.833,4
605,"$96,589",135,162,166,344,169,0.6512,0.00%,25.63%,26.10%,89.93%,115,91.25%,87.92%,100.00%,11.10%,58.43%,99.66%,0.7473,4
608,"$98,579",149,239,681,1777,1077,0.773,8.28%,52.40%,29.19%,68.88%,136,91.87%,96.25%,96.44%,65.99%,56.74%,84.13%,0.819,4
609,"$101,496",134,414,1112,2275,1513,0.7696,8.91%,42.10%,31.58%,64.22%,247,92.22%,95.95%,96.17%,48.12%,53.98%,76.70%,0.7719,4
610,"$153,174",43,131,164,829,289,0.7635,36.36%,36.95%,15.83%,60.55%,64,97.90%,95.49%,56.19%,34.81%,65.41%,67.67%,0.6958,4
611,"$93,827",11,96,81,597,178,0.7734,0.00%,32.81%,5.39%,83.40%,45,91.03%,96.32%,100.00%,25.29%,75.76%,97.17%,0.8093,4
612,"$157,062",13,51,140,754,343,0.8095,6.73%,32.32%,9.67%,89.93%,89,98.03%,97.91%,97.19%,24.76%,69.93%,99.66%,0.8125,4
615,"$124,452",26,152,125,686,416,0.787,12.36%,34.35%,11.06%,84.67%,77,95.40%,96.97%,94.38%,29.17%,68.83%,97.99%,0.8046,4
618,"$142,596",76,113,168,606,366,0.7615,31.03%,33.80%,11.19%,78.97%,40,97.28%,95.34%,66.56%,28.18%,68.82%,95.32%,0.7525,4
619.01,"$136,476",112,200,596,1186,923,0.7729,47.60%,33.07%,20.59%,78.97%,170,96.19%,96.16%,40.42%,25.62%,62.17%,95.32%,0.6931,4
619.02,"$159,773",24,294,500,1414,1209,0.8028,25.19%,33.86%,19.63%,78.97%,138,98.18%,97.57%,76.86%,28.52%,62.53%,95.32%,0.765,4
620,"$121,084",0,107,276,903,844,0.8332,21.43%,30.50%,16.33%,78.97%,104,95.24%,98.95%,82.90%,20.72%,65.04%,95.32%,0.7636,4
621,"$115,624",44,74,509,1222,679,0.7913,32.17%,28.51%,12.94%,78.97%,87,94.61%,97.15%,62.90%,14.92%,67.28%,95.32%,0.7203,4
622,"$132,020",41,58,156,954,585,0.8212,5.36%,45.26%,15.38%,78.97%,119,95.98%,98.48%,97.71%,54.10%,65.72%,95.32%,0.8455,4
623,"$153,190",17,23,46,612,339,0.8378,13.82%,39.81%,8.89%,78.49%,147,97.93%,99.26%,92.33%,43.06%,71.10%,94.99%,0.8311,4
624,"$239,885",65,56,170,609,294,0.7693,0.00%,45.75%,12.66%,80.86%,129,99.74%,95.67%,100.00%,54.87%,67.58%,95.87%,0.8562,4
625,"$181,221",29,52,165,571,333,0.796,0.00%,46.82%,15.42%,84.16%,109,98.81%,97.46%,100.00%,57.54%,65.69%,97.97%,0.8624,4
626,"$213,009",108,81,45,680,660,0.8164,21.22%,58.62%,22.37%,85.21%,329,99.61%,98.30%,83.30%,74.20%,61.21%,98.20%,0.858,4
627,"$193,349",64,107,188,960,581,0.7986,18.56%,41.32%,12.48%,83.98%,219,99.11%,97.51%,87.47%,46.48%,67.68%,97.94%,0.827,4
628,"$127,432",85,40,308,1285,851,0.8162,12.05%,42.25%,14.57%,82.74%,267,95.59%,98.20%,94.86%,48.89%,66.39%,97.16%,0.8351,4
629,"$208,342",30,166,257,1418,1228,0.8354,14.12%,40.38%,14.15%,75.00%,240,99.47%,99.18%,92.08%,44.61%,66.82%,92.58%,0.8246,4
630,"$124,535",34,105,138,1231,759,0.8273,14.52%,29.62%,16.18%,79.85%,117,95.43%,98.66%,91.57%,18.31%,65.12%,95.56%,0.7744,4
631,"$141,793",25,92,223,706,648,0.8196,0.00%,31.14%,18.26%,78.97%,101,97.13%,98.42%,100.00%,21.82%,63.45%,95.32%,0.7936,4
632,"$117,750",317,362,721,2522,1572,0.77,15.03%,33.82%,23.71%,78.97%,239,94.89%,96.07%,90.76%,28.32%,60.67%,95.32%,0.7767,4
633.01,"$47,624",12,37,554,765,503,0.7828,0.00%,18.39%,28.96%,78.97%,64,51.18%,96.85%,100.00%,3.56%,56.94%,95.32%,0.6731,4
633.02,"$153,083",0,160,273,1769,1199,0.8356,0.00%,35.60%,18.11%,78.97%,153,97.88%,99.21%,100.00%,32.12%,63.54%,95.32%,0.8135,4
633.03,"$110,137",40,83,135,340,350,0.785,0.00%,54.29%,12.25%,78.97%,20,93.90%,96.89%,100.00%,69.01%,67.78%,95.32%,0.8715,4
634,"$160,366",0,165,229,812,439,0.7854,33.96%,31.15%,8.83%,81.12%,77,98.20%,96.91%,58.07%,21.84%,71.12%,96.04%,0.737,4
701.01,"$265,963",39,127,403,1411,1224,0.8281,3.32%,41.63%,9.77%,85.45%,157,99.94%,98.84%,98.52%,47.33%,69.90%,98.23%,0.8546,4
701.02,"$194,583",76,90,304,881,611,0.7897,0.00%,29.62%,27.11%,83.41%,64,99.30%,97.13%,100.00%,18.32%,57.68%,97.18%,0.7827,4
701.03,"$191,181",0,17,90,908,386,0.8374,63.04%,16.45%,22.95%,87.74%,50,99.06%,99.22%,27.32%,2.95%,60.97%,98.80%,0.6472,3
702,"$195,636",96,112,170,1293,961,0.8212,11.90%,34.10%,20.88%,83.81%,179,99.34%,98.52%,95.10%,28.82%,62.07%,97.71%,0.8026,4
703,"$152,864",16,56,208,1330,984,0.8475,10.62%,45.53%,10.73%,81.70%,191,97.85%,99.53%,95.94%,54.54%,69.39%,96.48%,0.8562,4
704,"$175,288",276,139,289,995,663,0.738,14.92%,40.37%,11.20%,72.38%,221,98.69%,93.71%,91.14%,44.37%,68.81%,90.06%,0.8113,4
705,"$258,343",193,211,157,891,723,0.76,7.09%,46.66%,11.48%,71.00%,259,99.90%,95.33%,96.89%,57.20%,68.37%,88.01%,0.8428,4
706,"$246,523",70,74,219,976,881,0.8274,0.00%,64.87%,16.97%,67.86%,433,99.84%,98.76%,100.00%,79.94%,64.37%,83.06%,0.8766,4
707,"$193,573",269,123,206,894,819,0.7619,16.03%,55.39%,18.46%,64.32%,424,99.21%,95.44%,90.19%,69.97%,63.37%,77.13%,0.8255,4
710,"$164,465",0,47,133,799,815,0.8656,21.97%,42.60%,17.98%,71.07%,195,98.43%,99.91%,82.34%,49.48%,63.69%,88.61%,0.8041,4
711,"$196,666",7,63,67,666,764,0.8702,24.79%,37.88%,11.04%,71.07%,148,99.37%,99.95%,77.20%,38.22%,68.87%,88.61%,0.787,4
712,"$222,736",76,47,194,523,591,0.8105,26.95%,45.79%,13.57%,90.63%,163,99.67%,97.97%,73.58%,54.90%,67.18%,100.00%,0.8222,4
713,"$163,550",21,52,209,1168,1030,0.8527,17.01%,47.68%,10.93%,90.63%,305,98.38%,99.81%,89.32%,58.36%,68.98%,100.00%,0.8581,4
714,"$137,754",242,266,375,1606,1541,0.7954,4.53%,37.53%,16.38%,90.63%,228,96.25%,97.44%,98.22%,36.66%,64.92%,100.00%,0.8225,4
715,"$129,224",88,152,342,1943,2067,0.8504,33.22%,39.91%,15.01%,90.63%,302,95.66%,99.63%,59.81%,43.62%,66.17%,100.00%,0.7748,4
716,"$176,729",31,35,173,475,476,0.8235,17.42%,56.80%,11.98%,90.63%,244,98.74%,98.60%,88.70%,71.86%,68.27%,100.00%,0.877,4
717,"$156,894",23,19,198,507,504,0.8318,30.94%,56.87%,14.60%,90.63%,240,98.00%,98.89%,67.33%,71.91%,66.33%,100.00%,0.8375,4
718,"$185,177",43,166,298,567,836,0.8081,14.69%,54.84%,15.77%,88.63%,424,98.92%,97.89%,91.55%,69.45%,65.54%,98.90%,0.8704,4
801,"$209,793",30,206,591,2254,1950,0.8341,28.49%,51.21%,15.55%,77.92%,278,99.54%,99.01%,71.08%,64.25%,65.61%,94.96%,0.8241,4
802.01,"$159,302",42,142,491,1091,1160,0.8177,21.38%,66.00%,21.52%,75.14%,108,98.15%,98.33%,82.92%,81.28%,61.60%,92.64%,0.8582,4
802.02,"$193,893",34,116,428,1149,1249,0.8327,0.00%,58.30%,9.87%,76.26%,123,99.28%,98.92%,100.00%,73.90%,69.71%,93.73%,0.8926,4
803,"$143,956",91,156,344,1895,996,0.8038,22.73%,52.98%,18.22%,30.46%,250,97.33%,97.63%,80.16%,67.34%,63.51%,4.81%,0.6846,4
804,"$30,000",419,453,722,869,433,0.6307,83.02%,30.53%,5.47%,30.46%,896,12.11%,85.65%,10.59%,20.93%,75.63%,4.81%,0.3495,2
810,"$102,238",266,584,998,2289,1641,0.7542,45.16%,18.77%,27.68%,77.69%,154,92.38%,94.72%,43.01%,4.18%,57.42%,94.67%,0.644,3
811,"$77,926",189,236,554,1267,880,0.7544,34.00%,24.14%,17.70%,77.69%,78,83.54%,94.73%,58.05%,8.62%,63.95%,94.67%,0.6726,4
812.01,"$162,641",25,173,522,1330,1210,0.8164,0.00%,49.61%,19.02%,77.69%,105,98.31%,98.23%,100.00%,61.69%,62.88%,94.67%,0.8596,4
812.02,"$304,666",0,152,447,956,981,0.8181,62.03%,73.05%,15.14%,77.69%,133,100.00%,98.36%,27.93%,85.14%,65.80%,94.67%,0.7865,4
813,"$224,849",30,255,770,1670,1799,0.819,0.00%,63.87%,19.85%,77.69%,157,99.71%,98.39%,100.00%,78.88%,62.50%,94.67%,0.8903,4
814.01,"$182,867",3,102,224,628,839,0.8448,7.32%,48.25%,23.37%,77.69%,73,98.82%,99.44%,96.83%,59.88%,60.96%,94.67%,0.851,4
814.02,"$148,448",36,199,582,1059,1269,0.8115,0.00%,47.15%,21.71%,77.69%,171,97.65%,98.01%,100.00%,57.74%,61.50%,94.67%,0.8493,4
814.03,"$149,015",0,87,931,2852,2594,0.8461,0.00%,39.32%,31.34%,77.69%,214,97.69%,99.49%,100.00%,42.44%,54.65%,94.67%,0.8149,4
815,"$268,652",20,135,420,1849,1785,0.8492,24.85%,46.74%,19.12%,77.69%,149,99.97%,99.56%,77.17%,57.50%,62.81%,94.67%,0.8195,4
816,"$106,222",104,102,573,1384,1012,0.7951,0.00%,34.72%,23.75%,77.69%,83,93.17%,97.36%,100.00%,29.75%,60.56%,94.67%,0.7925,4
817,"$113,348",106,211,227,1550,1004,0.8024,18.64%,40.08%,29.91%,77.69%,125,94.30%,97.54%,87.29%,44.13%,56.18%,94.67%,0.7902,4
818,"$151,583",31,181,441,3255,2886,0.8586,19.03%,60.05%,15.54%,75.51%,236,97.80%,99.87%,86.79%,75.74%,65.67%,93.20%,0.8651,4
819,"$34,142",102,281,316,427,160,0.6407,72.90%,55.54%,3.21%,18.66%,223,18.89%,87.01%,20.94%,70.26%,82.75%,0.09%,0.4666,2
901,"$89,285",310,502,690,611,390,0.6215,16.77%,84.79%,17.44%,82.09%,557,89.87%,83.99%,89.64%,95.40%,64.25%,96.88%,0.8667,4
902,"$104,321",319,919,1484,1339,635,0.6448,4.92%,70.75%,10.82%,82.06%,970,92.84%,87.41%,98.13%,84.17%,69.35%,96.76%,0.8811,4
903,"$99,600",29,177,326,321,53,0.6424,34.85%,85.06%,23.50%,81.94%,233,91.98%,87.18%,57.14%,95.45%,60.94%,96.53%,0.8154,4
1001,"$83,364",606,696,1184,878,503,0.5988,18.44%,62.54%,40.70%,72.72%,803,86.21%,80.85%,87.72%,77.78%,47.11%,90.25%,0.7832,4
1002,"$84,250",333,1449,1460,1312,381,0.5983,20.38%,73.90%,26.80%,76.17%,1060,87.10%,80.66%,85.08%,86.03%,58.08%,93.70%,0.8177,4
1003,"$84,811",568,1184,1630,940,510,0.5851,6.86%,67.94%,18.80%,80.43%,894,87.72%,78.11%,97.17%,82.80%,63.09%,95.84%,0.8412,4
1004,"$101,879",162,641,474,637,253,0.6164,10.86%,93.03%,16.09%,77.46%,534,92.35%,83.32%,95.89%,99.61%,65.24%,94.18%,0.8843,4
1005,"$85,003",492,1286,1317,694,287,0.5508,13.03%,88.15%,31.56%,88.68%,974,87.99%,70.16%,93.27%,97.17%,54.30%,99.12%,0.8367,4
1006,"$73,135",500,1127,886,630,358,0.5554,20.16%,80.38%,42.95%,74.90%,706,81.31%,71.80%,85.24%,92.37%,44.99%,92.35%,0.7801,4
1007,"$73,104",549,1169,805,649,348,0.5476,31.48%,91.53%,43.16%,73.35%,685,81.15%,68.95%,65.38%,98.95%,44.78%,90.95%,0.7503,4
1101,"$81,548",499,1050,986,832,350,0.5722,12.84%,63.56%,31.31%,70.32%,798,85.30%,75.77%,93.74%,78.63%,54.84%,86.33%,0.791,4
1102,"$60,858",103,618,681,331,112,0.5708,31.14%,51.04%,44.73%,70.04%,359,70.29%,75.46%,66.11%,64.13%,43.43%,85.65%,0.6751,4
1103,"$77,710",468,1104,832,918,330,0.5747,14.21%,83.87%,43.64%,72.02%,759,83.42%,76.09%,91.87%,94.45%,44.62%,89.44%,0.7998,4
1104,"$88,661",455,826,876,688,330,0.5756,17.19%,57.92%,46.89%,73.91%,543,89.65%,76.22%,89.10%,73.72%,42.39%,91.34%,0.7707,4
1105.01,"$64,224",337,913,1039,699,330,0.5863,25.96%,65.25%,44.45%,70.57%,746,75.01%,78.50%,74.99%,80.24%,43.91%,86.81%,0.7324,4
1105.02,"$65,526",209,1037,564,405,189,0.5441,25.21%,53.46%,50.02%,70.51%,437,77.01%,68.07%,76.83%,68.61%,40.91%,86.64%,0.6968,4
1201,"$116,570",152,284,593,730,994,0.7547,1.57%,92.78%,21.07%,87.33%,906,94.82%,94.94%,99.03%,99.49%,61.94%,98.52%,0.9146,4
1202,"$108,390",68,678,770,859,718,0.6958,12.10%,84.28%,28.41%,89.26%,803,93.60%,91.46%,94.80%,94.83%,57.18%,99.31%,0.8853,4
1203,"$140,305",241,795,934,1633,1023,0.7038,17.20%,86.60%,32.62%,87.34%,1175,96.89%,92.16%,88.97%,96.39%,53.14%,98.79%,0.8772,4
1204,"$78,681",195,558,690,566,414,0.6368,18.34%,76.28%,44.85%,70.21%,587,84.14%,86.47%,88.05%,88.95%,43.35%,86.01%,0.795,4
1301,"$51,437",615,689,912,824,636,0.6096,12.20%,58.14%,54.13%,80.86%,653,57.57%,82.83%,94.61%,73.87%,38.40%,96.02%,0.7389,4
