TRACT,Estimated Median Family Income,Less Than High School,High School,Some College,College Graduate,Graduate School,Educational Attainment Score,% of Single Parent Households,% of Owner Occupied Homes,% of Population Speaking a Language Other than English,Weighted Average ISAT Performance at Attendance Area Schools,Number of School Age Children,Estimated Median Family Income Cumulative Percentage,Educational Attainment Score Cumulative Percentage,% of Single Parent Households Cumulative Percentage,% of Owner Occupied Homes Cumulative Percentage,% of Population Speaking a Language Other than English Cumulative Percentage,Weighted Average ISAT Performance at Attendance Area Schools Cumulative Percentage,6-Factor Socioeconomic Score,6-Factor Socioeconomic Tier
6204,"$52,673",1157,955,452,287,47,0.4007,7.37%,74.86%,84.75%,61.49%,1239,60.69%,17.47%,96.82%,86.81%,8.85%,70.62%,0.5688,3
6301,"$53,825",316,130,92,32,32,0.3787,42.03%,38.89%,62.91%,52.54%,273,61.97%,12.11%,47.19%,40.86%,31.46%,44.76%,0.3972,2
6302,"$49,236",539,218,213,46,27,0.3707,14.93%,45.89%,87.85%,55.62%,454,53.23%,11.14%,91.09%,55.01%,4.89%,54.02%,0.449,2
6303,"$39,303",1680,801,428,84,3,0.3282,30.08%,52.75%,87.52%,57.91%,1548,35.81%,2.28%,69.62%,66.43%,5.38%,61.82%,0.4022,2
6304,"$36,790",2126,1143,339,216,80,0.3429,31.66%,52.83%,92.46%,57.41%,1827,26.33%,4.32%,64.71%,66.85%,2.05%,60.26%,0.3742,2
6305,"$37,348",1775,1073,477,98,45,0.3442,30.94%,50.63%,84.38%,55.64%,1642,28.25%,4.91%,67.28%,63.64%,9.52%,54.40%,0.38,2
6308,"$43,343",2132,971,528,208,48,0.3463,19.90%,55.66%,87.02%,56.72%,1739,43.47%,5.31%,85.94%,70.76%,6.70%,57.80%,0.45,2
6309,"$39,641",1495,791,452,189,27,0.3605,31.97%,58.77%,89.07%,56.89%,1337,36.56%,9.55%,63.21%,74.68%,4.13%,58.50%,0.4111,2
6401,"$53,397",270,258,180,56,10,0.4134,28.35%,55.82%,64.20%,61.89%,242,61.76%,20.05%,71.45%,71.22%,30.49%,71.43%,0.544,3
6403,"$64,795",755,1536,1260,566,139,0.4965,45.11%,73.81%,29.96%,62.16%,1207,75.64%,53.41%,43.29%,85.78%,56.15%,72.73%,0.645,3
6404,"$62,288",396,907,891,119,97,0.485,56.80%,79.94%,29.01%,72.37%,547,72.47%,49.02%,31.83%,92.21%,56.93%,90.01%,0.6541,4
6405,"$76,760",281,848,741,252,100,0.5138,18.40%,79.06%,41.75%,73.16%,459,82.64%,58.15%,87.82%,91.49%,45.92%,90.79%,0.7614,4
6406,"$59,590",482,946,712,487,145,0.5183,42.86%,56.94%,40.82%,61.98%,650,69.80%,60.26%,46.37%,72.06%,46.93%,71.94%,0.6123,3
6407,"$61,880",482,552,541,333,28,0.4836,22.19%,80.44%,55.00%,66.32%,612,72.01%,48.67%,81.62%,92.51%,37.72%,80.00%,0.6875,4
6408,"$64,008",204,547,423,114,89,0.5037,41.57%,70.25%,66.07%,62.96%,431,74.66%,55.75%,47.91%,83.68%,28.58%,74.24%,0.608,3
6501,"$41,687",958,1130,576,147,34,0.401,33.33%,69.28%,74.59%,61.14%,1089,40.53%,17.72%,59.74%,83.09%,21.14%,69.85%,0.4868,3
6502,"$50,167",918,1927,1143,236,128,0.4497,37.67%,63.99%,56.25%,60.77%,1633,55.08%,36.35%,54.32%,79.25%,36.32%,68.40%,0.5495,3
6503.01,"$52,792",1198,741,1075,153,82,0.4264,38.08%,77.26%,75.73%,55.58%,1252,61.19%,26.00%,52.70%,90.38%,19.51%,53.92%,0.5062,3
6503.02,"$64,937",1074,794,490,43,94,0.3827,20.88%,78.50%,78.25%,50.77%,963,76.03%,13.76%,83.97%,91.02%,16.04%,39.63%,0.5341,3
6504,"$46,775",1584,1446,654,145,80,0.3795,25.35%,82.65%,78.59%,58.91%,1596,50.00%,12.96%,76.53%,93.69%,15.24%,64.07%,0.5208,3
6505,"$63,446",726,788,654,393,156,0.487,25.56%,79.23%,66.67%,62.06%,872,73.89%,50.39%,75.83%,91.74%,28.21%,72.45%,0.6542,4
6603.01,"$30,882",302,417,179,46,0,0.3934,63.01%,34.12%,40.67%,33.83%,437,13.36%,15.11%,27.42%,28.92%,47.21%,9.99%,0.2367,1
6603.02,"$39,852",1246,927,521,307,44,0.4014,32.50%,43.38%,72.56%,47.03%,1293,37.19%,18.09%,61.50%,51.11%,22.97%,30.65%,0.3692,2
6604,"$34,041",1551,1030,605,110,18,0.3594,29.94%,57.70%,80.51%,55.84%,1473,18.59%,9.02%,69.99%,72.98%,14.11%,55.11%,0.3997,2
6605,"$48,902",1588,912,552,110,40,0.3565,37.82%,53.12%,76.46%,50.77%,1381,52.75%,8.28%,53.51%,68.02%,18.23%,39.63%,0.4007,2
6606,"$37,400",947,1290,993,202,0,0.4262,55.67%,33.76%,29.29%,37.28%,1363,28.76%,25.57%,32.93%,28.12%,56.71%,14.59%,0.3111,1
6607,"$38,886",435,474,424,49,5,0.4147,47.60%,55.26%,1.36%,45.75%,447,34.22%,20.16%,40.52%,69.87%,91.06%,28.12%,0.4732,2
6608,"$38,123",1333,977,701,200,113,0.4064,57.59%,36.82%,31.01%,37.99%,1269,31.86%,19.42%,31.06%,34.72%,55.32%,15.57%,0.3132,1
6609,"$35,712",609,830,892,157,126,0.4746,73.95%,33.68%,9.44%,40.51%,916,22.76%,45.49%,19.97%,27.61%,70.25%,20.64%,0.3446,1
6610,"$46,404",523,1190,1122,504,108,0.512,75.13%,52.94%,4.98%,39.49%,1085,48.84%,57.38%,18.61%,67.18%,76.95%,18.86%,0.4797,3
6611,"$56,022",834,1165,1263,413,133,0.4869,33.05%,75.56%,40.02%,52.78%,1512,65.33%,50.19%,60.61%,87.85%,47.69%,45.81%,0.5958,3
6701,"$34,507",224,321,270,149,5,0.4741,98.48%,37.64%,3.29%,53.06%,340,19.71%,45.17%,1.59%,37.18%,81.87%,46.83%,0.3873,2
6702,"$24,902",256,241,317,6,0,0.4178,96.12%,33.82%,0.00%,47.34%,346,3.73%,21.27%,2.01%,28.26%,100.00%,30.99%,0.3104,1
6703,"$19,344",230,298,314,47,0,0.44,100.00%,39.77%,0.81%,32.85%,293,2.31%,32.39%,1.40%,43.03%,95.46%,8.32%,0.3049,1
6704,"$25,796",364,371,298,59,26,0.4233,32.67%,44.55%,7.22%,33.59%,408,5.20%,23.12%,61.09%,52.95%,71.96%,9.52%,0.3731,2
6705,"$28,526",276,231,195,31,0,0.3948,89.62%,49.27%,5.67%,35.51%,273,9.94%,15.17%,6.22%,61.05%,75.29%,12.23%,0.2998,1
6706,"$38,148",282,484,243,23,0,0.4014,84.07%,49.89%,1.57%,41.59%,340,31.94%,17.80%,10.05%,62.16%,90.01%,21.66%,0.3893,2
6707,"$32,125",220,299,265,9,19,0.4296,95.91%,41.49%,0.76%,41.59%,309,14.86%,27.64%,2.18%,46.70%,95.77%,21.66%,0.348,2
6708,"$27,812",144,363,396,84,0,0.4851,56.33%,41.59%,2.53%,31.65%,345,8.55%,49.37%,32.09%,47.26%,85.93%,6.67%,0.3831,2
6709,"$44,457",124,319,335,18,41,0.4884,24.05%,44.02%,0.40%,31.65%,246,45.60%,50.62%,77.88%,52.09%,96.96%,6.67%,0.5497,3
6711,"$18,095",122,213,214,24,0,0.4489,42.45%,39.26%,0.00%,33.18%,210,1.86%,35.59%,46.79%,41.95%,100.00%,9.01%,0.392,2
6712,"$28,575",167,170,260,63,5,0.4704,74.49%,34.15%,0.00%,36.79%,258,10.11%,43.69%,18.98%,28.98%,100.00%,13.87%,0.3594,2
6713,"$28,249",478,411,591,93,13,0.4426,91.43%,53.24%,1.05%,36.79%,551,9.60%,33.10%,4.72%,68.38%,93.68%,13.87%,0.3723,2
6714,"$40,053",233,460,356,71,25,0.4594,60.77%,56.53%,2.57%,36.79%,379,37.41%,40.32%,28.41%,71.80%,85.85%,13.87%,0.4628,2
6715,"$26,901",720,631,391,6,53,0.3825,95.02%,46.40%,3.56%,35.18%,630,6.60%,13.54%,2.51%,56.07%,81.03%,11.77%,0.2859,1
6716,"$33,811",316,623,410,50,33,0.4409,100.00%,37.27%,3.19%,36.86%,467,18.09%,32.54%,1.40%,36.03%,82.98%,13.98%,0.3084,1
6718,"$21,134",251,346,127,21,52,0.4186,59.34%,59.57%,2.73%,24.35%,255,2.66%,21.51%,29.31%,75.23%,85.09%,0.77%,0.3576,2
6719,"$43,979",234,269,346,27,0,0.4379,83.02%,63.61%,4.06%,37.83%,272,44.76%,31.53%,10.65%,78.74%,79.38%,15.14%,0.4337,2
6720,"$38,522",486,866,697,213,19,0.4609,69.33%,70.86%,1.00%,34.48%,675,32.84%,41.14%,22.43%,84.32%,94.79%,11.12%,0.4777,2
6805,"$45,130",191,311,349,68,0,0.464,90.73%,30.46%,4.98%,31.58%,266,46.74%,41.27%,4.90%,20.64%,77.19%,6.33%,0.3284,1
6806,"$13,472",145,426,194,52,22,0.4522,100.00%,28.83%,0.00%,56.91%,319,0.50%,36.90%,1.40%,16.36%,100.00%,58.67%,0.3564,2
6809,"$26,577",800,729,949,175,114,0.4608,84.77%,19.94%,1.26%,45.44%,975,6.38%,40.98%,9.79%,4.99%,92.08%,27.53%,0.3029,1
6810,"$26,047",695,510,434,82,38,0.4019,78.32%,28.98%,1.57%,39.55%,688,5.61%,18.25%,16.79%,16.58%,89.93%,19.15%,0.2772,1
6811,"$32,958",515,681,650,97,33,0.4433,88.06%,33.36%,0.48%,35.95%,704,16.53%,33.43%,7.37%,26.74%,96.90%,12.76%,0.3229,1
6812,"$16,839",383,344,484,56,56,0.4576,83.92%,21.70%,0.75%,37.49%,518,1.02%,39.44%,10.17%,5.95%,95.89%,14.85%,0.2789,1
6813,"$37,866",365,639,440,46,40,0.4375,81.82%,22.20%,2.82%,36.52%,564,29.56%,31.24%,12.59%,6.43%,85.04%,12.98%,0.2964,1
6814,"$36,111",453,707,658,22,36,0.4381,100.00%,48.56%,0.00%,24.18%,670,23.88%,31.68%,1.40%,60.25%,100.00%,0.71%,0.3632,2
6903,"$12,704",372,425,469,69,32,0.4484,96.00%,12.87%,3.13%,36.46%,415,0.42%,35.54%,2.11%,1.16%,83.29%,12.85%,0.2256,1
6904,"$41,514",361,608,881,299,60,0.5175,94.04%,29.60%,2.18%,43.05%,578,40.28%,60.12%,2.74%,18.28%,86.54%,24.92%,0.3881,2
6905,"$37,957",169,69,231,73,33,0.5068,100.00%,34.83%,5.52%,41.51%,127,30.10%,56.46%,1.40%,30.22%,75.32%,21.21%,0.3579,2
6909,"$35,956",432,352,1640,245,211,0.5619,89.02%,30.18%,1.74%,42.72%,810,23.47%,74.15%,6.71%,19.77%,89.15%,24.20%,0.3957,2
6910,"$44,566",134,541,735,350,107,0.5738,86.64%,44.76%,0.00%,39.38%,342,46.04%,75.84%,7.74%,53.33%,100.00%,18.61%,0.5026,3
6911,"$26,066",325,592,693,113,65,0.4883,89.31%,23.20%,2.05%,40.41%,592,5.75%,50.53%,6.40%,7.71%,87.82%,20.43%,0.2977,1
6912,"$37,983",275,390,505,201,160,0.5453,65.07%,28.73%,2.53%,37.93%,571,30.25%,68.49%,25.51%,15.84%,86.06%,15.27%,0.4024,2
6913,"$55,607",183,567,529,263,194,0.5675,53.49%,53.82%,2.59%,37.36%,333,64.73%,74.64%,34.99%,68.82%,85.61%,14.73%,0.5725,3
6914,"$63,437",399,673,747,381,139,0.5306,82.37%,48.07%,4.04%,41.97%,622,73.69%,62.90%,12.18%,59.71%,79.52%,23.02%,0.5184,3
6915,"$26,307",164,281,451,152,23,0.5232,85.77%,30.68%,1.77%,40.33%,353,5.83%,61.24%,8.49%,21.54%,88.67%,20.30%,0.3434,1
7001,"$61,974",435,696,566,139,97,0.4724,46.92%,77.67%,26.67%,42.03%,679,72.17%,44.54%,41.82%,90.54%,58.23%,23.18%,0.5508,3
7002,"$58,873",1215,1155,825,486,101,0.4468,31.72%,86.16%,64.89%,60.11%,1584,69.13%,34.90%,64.10%,95.81%,30.02%,67.05%,0.6017,3
7003.01,"$56,908",765,1073,1138,267,72,0.4678,11.84%,89.81%,55.16%,65.55%,1279,66.96%,42.76%,95.48%,98.35%,37.58%,79.15%,0.7005,4
7003.02,"$67,989",607,993,1231,389,198,0.5168,25.69%,87.64%,38.54%,59.02%,1035,78.16%,59.77%,75.63%,96.94%,48.97%,64.90%,0.7073,4
