TRACT,SHORT TRACT,TIER
17031841400,8414,1
17031841500,8415,1
17031841600,8416,1
17031841700,8417,1
17031841800,8418,2
17031841900,8419,4
17031842000,8420,4
17031842100,8421,1
17031842200,8422,2
17031842300,8423,4
17031842400,8424,2
17031842500,8425,1
17031842600,8426,3
17031842800,8428,2
17031842900,8429,1
17031843000,8430,1
17031843100,8431,1
17031843200,8432,1
17031843300,8433,1
17031843400,8434,2
17031843500,8435,2
17031843600,8436,1
17031843700,8437,4
17031843800,8438,2
17031843900,8439,3
17031980100,9801,3
